id	gaps	source_type	title	url	local_path	download_status
SRC-001	Gap1;Gap3	vendor_blog	Amazon Q Developer reached $260M milestone	https://aws.amazon.com/blogs/devops/amazon-q-developer-just-reached-a-260-million-dollar-milestone/	raw/001_amazon_q_260m_milestone.html	downloaded
SRC-002	Gap3	consulting_blog	LangGraph vs CrewAI (production failure patterns)	https://xcelore.com/blog/langgraph-vs-crewai/	raw/002_xcelore_langgraph_vs_crewai.html	downloaded
SRC-003	Gap4	dataset_repo	Zenodo Tokenomics record	https://zenodo.org/records/17430187	raw/003_zenodo_17430187.html	downloaded
SRC-004	Gap4;Gap6	vendor_site	Lumay site	https://www.lumay.ai/	raw/004_lumay_ai.html	downloaded
SRC-005	Gap5	academic_doi	DOI: 10.1590/1807-7692bar2025250060	https://doi.org/10.1590/1807-7692bar2025250060	raw/005_doi_1807-7692bar2025250060.html	downloaded
SRC-006	Gap5	vendor_site	ComplianceRT	https://compliancert.com/	raw/006_compliancert.html	downloaded
SRC-007	Gap1;Gap2	industry_report	Deloitte State of AI in the Enterprise 2026 (PDF)	https://www.deloitte.com/content/dam/assets-zone3/us/en/docs/services/consulting/2026/state-of-ai-2026.pdf	raw/007_deloitte_state_of_ai_2026.pdf	downloaded
SRC-008	Gap1;Gap5	industry_survey	McKinsey State of AI 2025 (browser snapshot)	https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai	raw/008_mckinsey_state_of_ai_2025_playwright_snapshot.md	captured_playwright
SRC-009	Gap1	primary_research	Anthropic: Measuring AI agent autonomy in practice	https://www.anthropic.com/research/measuring-agent-autonomy	raw/009_anthropic_measuring_agent_autonomy.html	downloaded
SRC-010	Gap2	security_report	Akto State of Agentic AI Security 2025 (press release)	https://www.prnewswire.com/news-releases/aktos-2025-state-of-agentic-ai-security-report-finds-only-21-of-enterprises-have-visibility-302635105.html	raw/010_akto_state_agentic_ai_security_2025_prnewswire.html	downloaded
SRC-011	Gap3	security_incident	AIM EchoLeak prompt injection breach analysis	https://www.aim.security/post/echoleak-blogpost	raw/011_aim_echoleak_blogpost.html	downloaded
SRC-012	Gap3	vulnerability_db	NVD CVE-2025-32711	https://nvd.nist.gov/vuln/detail/CVE-2025-32711	raw/012_nvd_cve_2025_32711.html	downloaded
SRC-013	Gap3	company_press	Klarna AI assistant customer service results	https://www.klarna.com/international/press/klarna-ai-assistant-handles-two-thirds-of-customer-service-chats-in-its-first-month/	raw/013_klarna_ai_assistant_press.html	downloaded
SRC-014	Gap4	official_docs	Anthropic pricing docs (dynamic page)	https://docs.anthropic.com/en/docs/about-claude/pricing	raw/014_anthropic_pricing.html	downloaded_dynamic
SRC-015	Gap4	official_docs	OpenAI API pricing (browser snapshot)	https://openai.com/api/pricing/	raw/015_openai_api_pricing_playwright_snapshot.md	captured_playwright
SRC-016	Gap4	official_pricing	Temporal pricing (browser snapshot)	https://temporal.io/pricing	raw/016_temporal_cloud_pricing_playwright_snapshot.md	captured_playwright
SRC-017	Gap4	official_pricing	Restate Cloud pricing (browser snapshot)	https://www.restate.dev/cloud/#pricing	raw/017_restate_cloud_pricing_playwright_snapshot.md	captured_playwright
SRC-018	Gap4	official_pricing	LangSmith pricing	https://www.langchain.com/pricing-langsmith	raw/018_langsmith_pricing.html	downloaded
SRC-019	Gap4	official_pricing	Braintrust pricing	https://www.braintrust.dev/pricing	raw/019_braintrust_pricing.html	downloaded
SRC-020	Gap5	regulatory_timeline	EU AI Act implementation timeline	https://ai-act-service-desk.ec.europa.eu/en/ai-act/eu-ai-act-implementation-timeline	raw/020_eu_ai_act_timeline_ec.html	downloaded
